OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
69366,53,001,950100,1400000US53001950100,53001950100,9501,Adams,WA,Washing,"Census Tract 9501, Adams County, Washington","2,511.00",205.00,"2,149.00",1.39,0.57,0.79,0.35,0.33,0.35,0.05,0.15,0.89,0.14,0.00,0.00,0.00,0.67,0.00,0.00,0.67,0.35,1.00,0.73,0.48,2.21,0.92,0.40,0.30,0.00,0.70,0.28,0.25,0.25,0.25,4.72,0.20,0.27,0.27,0.27,0.61,0.50,0.17,0.57,0.50,0.32,0.59,3.26,0.45,0.65,0.53,0.60,0.48,2.25,0.71,0.76,0.88,1.63,0.94,7.42,0.60,1.00,1.00,1.00,0.00,0.00,3.00,0.60,0.33,8.44,0.11,22.70,0.00,0.00,0.00,1.61,0.00,0.00,0.00,79.73,9.44,18.02,16.56,0.00,12.58,13.50,35.77,9.80,2.50,13.40,26.29,4.70,19.30,18.10,22.50,13.80,1.20,7.90,3.80,36.10,10.40,9.20,12.80,10.90,0.73,0.67,0.94,0.52,0.36,"217,158.59","1,624,290,951.78"
69367,53,001,950200,1400000US53001950200,53001950200,9502,Adams,WA,Washing,"Census Tract 9502, Adams County, Washington","1,630.00",176.00,"1,212.00",1.26,0.50,0.86,0.40,0.33,0.35,0.03,0.13,0.84,0.12,0.00,0.00,0.00,0.64,0.00,0.00,0.64,0.33,1.00,0.80,0.89,2.69,1.00,0.38,0.31,0.00,0.70,0.27,0.15,0.15,0.15,5.01,0.26,0.33,0.33,0.33,0.74,0.55,0.55,0.57,0.01,0.51,0.68,3.62,0.53,0.63,0.76,0.80,0.48,2.67,0.93,0.85,0.00,0.85,0.52,7.47,0.60,0.00,1.00,1.00,0.00,0.00,2.00,0.40,0.33,8.41,0.08,21.91,0.00,0.00,0.00,0.31,0.00,0.00,0.00,85.21,4.61,15.86,17.83,0.00,2.23,17.20,44.05,11.00,5.20,13.50,8.62,7.20,22.30,17.80,26.10,17.60,1.20,15.40,0.00,34.80,11.00,8.10,14.50,11.90,0.67,0.79,0.82,0.64,0.56,"296,549.34","2,631,439,826.42"
69368,53,001,950300,1400000US53001950300,53001950300,9503,Adams,WA,Washing,"Census Tract 9503, Adams County, Washington","6,546.00",340.00,"4,030.00",1.86,0.77,1.46,0.82,0.33,0.41,0.04,0.18,0.96,0.15,0.00,0.34,0.00,0.68,0.00,0.00,1.02,0.55,0.72,0.38,0.90,2.00,0.81,0.42,0.35,0.88,1.64,0.90,0.46,0.46,0.46,6.08,0.50,0.85,0.85,0.85,0.90,0.97,0.86,0.29,0.67,0.90,0.78,5.38,0.87,0.18,1.00,0.26,0.94,2.38,0.80,1.00,0.67,1.67,0.95,10.28,0.96,0.00,1.00,0.00,1.00,0.00,2.00,0.40,0.33,8.70,0.09,23.54,0.00,1.57,0.00,2.07,0.00,0.00,16.93,50.79,4.47,20.75,22.83,2.05,41.07,79.50,58.29,40.20,9.60,7.40,32.21,18.20,26.40,9.90,40.60,9.20,17.40,55.30,0.90,29.60,11.10,4.80,17.20,12.00,0.36,0.81,0.15,0.65,0.81,"138,792.69","728,013,340.42"
69369,53,001,950400,1400000US53001950400,53001950400,9504,Adams,WA,Washing,"Census Tract 9504, Adams County, Washington","3,237.00",344.00,"4,368.00",1.92,0.79,1.32,0.74,0.33,0.41,0.05,0.19,0.97,0.16,0.00,0.80,0.00,0.96,0.00,0.00,1.75,0.78,1.00,0.59,0.12,1.71,0.62,0.73,0.26,0.00,0.99,0.48,0.58,0.58,0.58,6.00,0.48,0.85,0.85,0.85,0.87,0.95,0.20,0.59,0.53,0.95,0.81,4.90,0.79,0.18,0.99,0.34,0.96,2.46,0.84,0.00,0.84,0.84,0.51,9.05,0.84,0.00,1.00,0.00,1.00,1.00,3.00,0.60,0.33,8.69,0.11,23.64,0.00,90.23,0.00,85.67,0.00,0.00,0.00,69.00,14.83,91.52,11.34,0.00,60.87,79.30,55.02,34.20,2.70,13.90,27.21,22.90,27.70,9.90,36.70,10.20,21.00,0.00,2.90,32.50,11.10,6.10,16.40,13.20,0.54,0.81,0.37,0.75,0.75,"7,976.14","3,450,832.68"
69370,53,001,950500,1400000US53001950500,53001950500,9505,Adams,WA,Washing,"Census Tract 9505, Adams County, Washington","5,670.00",424.00,"6,481.00",1.85,0.77,1.45,0.81,0.33,0.41,0.05,0.18,0.98,0.16,0.00,0.61,0.00,0.65,0.00,0.00,1.26,0.60,1.00,0.52,0.35,1.87,0.73,0.57,0.75,0.00,1.32,0.64,0.74,0.74,0.74,6.16,0.52,0.86,0.86,0.86,0.77,0.99,0.80,0.53,0.46,0.91,0.79,5.25,0.85,0.09,0.98,0.58,0.97,2.62,0.91,0.73,0.45,1.18,0.72,9.91,0.93,0.00,1.00,0.00,1.00,0.00,2.00,0.40,0.33,8.70,0.11,23.61,0.00,36.58,0.00,0.83,0.00,0.00,0.00,62.94,11.83,51.68,99.57,0.00,87.93,80.80,46.34,47.00,8.20,12.50,25.01,18.70,26.60,7.50,36.30,13.50,23.80,6.60,0.20,25.50,10.70,4.30,16.70,10.50,0.15,0.74,0.09,0.47,0.77,"15,738.95","12,416,490.38"
69371,53,003,960100,1400000US53003960100,53003960100,9601,Asotin,WA,Washing,"Census Tract 9601, Asotin County, Washington","4,400.00",441.00,"2,877.00",0.51,0.10,0.31,0.06,0.00,0.14,0.00,0.20,0.34,0.04,0.00,0.28,0.00,0.65,0.84,0.00,1.77,0.79,0.68,0.31,0.92,1.91,0.76,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.22,4.25,0.12,0.14,0.14,0.14,0.26,0.36,0.17,0.11,0.12,0.38,0.47,1.86,0.17,0.88,0.64,0.53,0.00,2.04,0.53,0.75,0.00,0.75,0.44,4.80,0.19,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,7.11,0.03,24.01,0.00,0.02,0.00,0.60,0.61,0.00,27.17,44.93,4.17,0.00,0.00,0.00,9.40,6.80,18.44,7.10,2.50,4.00,15.59,5.40,15.50,23.60,24.00,12.80,0.00,7.80,0.00,34.70,10.30,8.80,12.80,11.20,0.66,0.65,0.91,0.56,0.36,"175,361.68","1,348,531,853.04"
69372,53,003,960200,1400000US53003960200,53003960200,9602,Asotin,WA,Washing,"Census Tract 9602, Asotin County, Washington","4,811.00",349.00,"2,228.00",1.30,0.52,0.90,0.43,0.00,0.23,0.02,0.28,0.53,0.07,0.00,0.35,0.00,0.62,0.85,0.00,1.81,0.81,0.80,0.38,0.80,1.99,0.81,0.32,0.28,0.85,1.44,0.71,0.29,0.29,0.29,6.06,0.49,0.23,0.23,0.23,0.40,0.25,0.69,0.36,0.10,0.15,0.46,2.42,0.27,0.97,0.14,0.93,0.25,2.29,0.74,0.92,0.45,1.36,0.81,6.30,0.41,1.00,0.00,1.00,0.00,0.00,2.00,0.40,0.00,7.72,0.06,26.19,0.00,1.70,0.00,0.03,0.76,0.00,3.97,51.26,5.67,6.77,13.04,0.10,17.79,11.30,25.24,5.30,6.60,8.80,15.01,2.70,15.30,33.00,15.40,22.30,0.30,23.40,0.20,35.50,10.10,9.50,12.10,11.40,0.70,0.60,0.95,0.58,0.28,"109,509.74","297,429,756.44"
69373,53,003,960300,1400000US53003960300,53003960300,9603,Asotin,WA,Washing,"Census Tract 9603, Asotin County, Washington","3,805.00",265.00,"6,345.00",2.06,0.84,1.46,0.82,0.00,0.40,0.25,0.31,0.95,0.15,0.00,0.63,0.00,0.90,0.99,0.00,2.53,0.92,0.53,0.64,0.47,1.64,0.56,0.75,0.70,0.00,1.44,0.71,0.45,0.45,0.45,7.01,0.70,0.27,0.27,0.27,0.86,0.65,0.85,0.70,0.66,0.36,0.52,4.61,0.74,0.20,0.62,0.77,0.51,2.11,0.59,0.67,0.79,1.46,0.86,8.46,0.76,0.00,1.00,0.00,1.00,1.00,3.00,0.60,0.00,8.64,0.23,26.88,0.00,42.56,0.00,51.67,82.83,0.00,72.13,72.77,9.58,95.58,93.47,0.00,40.68,13.80,54.31,13.70,9.40,17.50,31.61,5.20,17.20,10.40,23.80,16.90,1.40,3.60,2.10,33.70,12.10,7.20,18.10,12.50,0.61,0.91,0.61,0.69,0.86,"12,503.34","4,628,140.89"
69374,53,003,960400,1400000US53003960400,53003960400,9604,Asotin,WA,Washing,"Census Tract 9604, Asotin County, Washington","2,417.00",236.00,942.00,2.36,0.92,1.36,0.76,0.00,0.39,0.21,0.30,0.90,0.14,0.00,0.40,0.00,0.00,0.97,0.00,1.38,0.64,0.60,0.61,0.72,1.92,0.77,0.59,0.77,0.00,1.35,0.65,0.45,0.45,0.45,6.00,0.48,0.26,0.26,0.26,0.83,0.73,0.94,0.56,0.73,0.40,0.71,4.89,0.79,0.90,0.38,0.86,0.44,2.58,0.90,0.87,0.75,1.62,0.94,9.36,0.88,1.00,1.00,1.00,1.00,1.00,5.00,1.00,0.00,8.60,0.21,26.52,0.00,4.59,0.00,0.00,36.79,0.00,49.74,70.70,6.58,55.44,100.00,0.00,39.83,13.00,50.82,16.40,13.50,13.10,34.59,5.70,23.20,24.70,20.40,19.30,1.00,17.10,1.60,35.00,11.60,8.20,16.30,12.90,0.68,0.87,0.83,0.73,0.74,"5,358.49","1,572,429.71"
69375,53,003,960500,1400000US53003960500,53003960500,9605,Asotin,WA,Washing,"Census Tract 9605, Asotin County, Washington","3,405.00",243.00,"3,787.00",1.89,0.78,1.49,0.83,0.00,0.38,0.28,0.32,0.99,0.16,0.00,0.73,0.00,0.89,0.99,0.00,2.61,0.93,0.39,0.83,0.59,1.80,0.69,0.69,0.52,0.00,1.21,0.58,0.46,0.46,0.46,7.06,0.71,0.24,0.24,0.24,0.67,0.35,0.71,0.80,0.59,0.65,0.72,4.48,0.71,0.73,0.28,0.95,0.44,2.40,0.81,0.65,0.81,1.46,0.86,8.57,0.77,0.00,1.00,1.00,0.00,0.00,2.00,0.40,0.00,8.58,0.25,27.17,0.00,70.34,0.00,44.63,75.09,0.00,100.00,87.29,8.00,82.24,56.21,0.00,41.56,11.70,39.42,6.90,6.80,21.30,29.10,9.60,23.50,19.60,18.80,23.60,1.00,2.90,2.40,34.80,10.80,8.70,14.50,11.50,0.67,0.76,0.90,0.59,0.56,"6,152.82","1,815,561.49"
