,GEOID10,n_loans,n_homes,n_hcl,per_hcl,rank_hcl
1,53053062000,319,1512,55,0.172413793,0.904396371
2,53053071601,161,1611,31,0.192546584,0.94277739
3,53053073111,299,1460,51,0.170568562,0.902302861
4,53053940007,264,1107,55,0.208333333,0.958827634
5,53053940006,128,858,25,0.1953125,0.946266574
6,53053073116,350,1370,29,0.082857143,0.584089323
7,53053072800,985,2907,19,0.01928934,0.067690161
8,53053072107,340,1782,33,0.097058824,0.661549197
9,53053071703,28,375,6,0.214285714,0.965806001
10,53053073113,1188,2255,159,0.133838384,0.814375436
11,53053072506,284,1478,13,0.045774648,0.326587579
12,53053071411,662,1691,135,0.203927492,0.955338451
13,53053071410,603,2596,114,0.189054726,0.933007676
14,53053072308,331,2432,14,0.042296073,0.301465457
15,53053940010,350,1485,26,0.074285714,0.536636427
16,53053071409,336,1569,79,0.235119048,0.981856246
17,53053073302,342,1442,25,0.073099415,0.530355897
18,53053071803,176,1271,14,0.079545455,0.568736916
19,53053073115,268,1582,39,0.145522388,0.848569435
20,53053072106,245,1548,24,0.097959184,0.664340544
21,53053072105,412,1791,33,0.080097087,0.571528262
22,53053062600,133,931,31,0.233082707,0.981158409
23,53053073200,451,3031,51,0.11308204,0.739009072
24,53053072410,258,1545,10,0.03875969,0.273551989
25,53053073110,309,1361,41,0.132686084,0.810886253
26,53053073108,760,2844,145,0.190789474,0.93649686
27,53053071902,390,2254,34,0.087179487,0.614096301
28,53053072307,213,1435,11,0.051643192,0.378227495
29,53053072311,148,1093,13,0.087837838,0.618981158
30,53053072109,211,1325,9,0.042654028,0.303558967
31,53053072407,292,1503,16,0.054794521,0.404047453
32,53053073001,417,2334,35,0.083932854,0.5931612
33,53053070100,260,1683,38,0.146153846,0.851360782
34,53053073006,259,1460,33,0.127413127,0.790648988
35,53053070206,348,1476,52,0.149425287,0.861828332
36,53053071506,351,1852,52,0.148148148,0.856245639
37,53053071504,247,1378,54,0.218623482,0.969993022
38,53053070309,682,1919,44,0.064516129,0.47662247
39,53053063501,254,1285,53,0.208661417,0.959525471
40,53053071901,306,1621,41,0.133986928,0.815073273
41,53053062900,471,2541,92,0.195329087,0.94696441
42,53053063000,246,981,47,0.191056911,0.937892533
43,53053070401,133,862,10,0.07518797,0.542219121
44,53053063502,329,1622,71,0.215805471,0.967201675
45,53053072405,266,1678,10,0.037593985,0.256803908
46,53053061200,378,1984,39,0.103174603,0.694347523
47,53053073404,461,2347,48,0.104121475,0.698534543
48,53053073005,283,2129,24,0.084805654,0.598046057
49,53053072504,224,1585,9,0.040178571,0.284717376
50,53053072309,245,1883,11,0.044897959,0.324494068
51,53053060300,403,1760,8,0.019851117,0.071877181
52,53053071706,75,438,20,0.266666667,0.99371947
53,53053071705,231,1346,55,0.238095238,0.983251919
54,53053071704,23,733,3,0.130434783,0.802512212
55,53053072408,404,2160,14,0.034653465,0.22889044
56,53053071403,251,1696,46,0.183266932,0.924633636
57,53053070207,588,1916,51,0.086734694,0.609211445
58,53053071209,289,1417,28,0.096885813,0.660153524
59,53053072406,514,2125,25,0.048638132,0.354501047
60,53053061601,97,97,6,0.06185567,0.453593859
61,53053061800,216,1065,29,0.134259259,0.816468946
62,53053072603,428,3175,67,0.156542056,0.877878576
63,53053072602,227,2199,21,0.092511013,0.63991626
64,53053072601,373,2172,50,0.134048257,0.81577111
65,53053061500,172,500,5,0.029069767,0.163991626
66,53053072503,311,1715,26,0.083601286,0.59106769
67,53053061300,255,1837,32,0.125490196,0.783670621
68,53053061700,438,1555,38,0.086757991,0.609909281
69,53053070307,508,1720,14,0.027559055,0.143754361
70,53053061602,61,87,4,0.06557377,0.485694348
71,53053070308,390,1276,47,0.120512821,0.770411724
72,53053072305,368,2206,16,0.043478261,0.310537334
73,53053062801,172,1360,32,0.186046512,0.929518493
74,53053071210,437,1661,29,0.066361556,0.490579204
75,53053071307,331,1599,56,0.16918429,0.900209351
76,53053062802,310,1517,61,0.196774194,0.947662247
77,53053063400,552,2462,101,0.182971014,0.922540126
78,53053072108,416,2273,53,0.127403846,0.789951151
79,53053071408,185,1499,36,0.194594595,0.945568737
80,53053073114,313,1957,69,0.220447284,0.972784368
81,53053071503,265,1607,51,0.19245283,0.942079553
82,53053061400,40,490,3,0.075,0.540125611
83,53053940002,253,1071,22,0.086956522,0.611304955
84,53053072313,395,1467,24,0.060759494,0.446615492
85,53053071806,19,755,6,0.315789474,0.99790649
86,53053062500,682,2695,124,0.181818182,0.921144452
87,53053072111,198,921,8,0.04040404,0.287508723
88,53053072112,310,1663,37,0.119354839,0.76482903
89,53053940011,323,1642,9,0.027863777,0.150732729
90,53053071805,108,942,23,0.212962963,0.963712491
91,53053060600,343,1986,13,0.037900875,0.258897418
92,53053061100,439,2019,33,0.075170843,0.541521284
93,53053072312,208,1482,12,0.057692308,0.422191207
94,53053071808,66,1360,14,0.212121212,0.962316818
95,53053071807,85,767,16,0.188235294,0.931612003
96,53053073123,595,1581,43,0.072268908,0.52756455
97,53053070404,661,1582,96,0.145234493,0.847871598
98,53053070403,464,1533,81,0.174568966,0.908583391
99,53053070313,519,2179,42,0.080924855,0.574319609
100,53053070314,271,1215,13,0.04797048,0.348220516
101,53053070315,487,2084,28,0.057494867,0.41939986
102,53053070316,490,1743,42,0.085714286,0.603628751
103,53053073125,848,3367,142,0.16745283,0.896022331
104,53053071407,553,2174,91,0.164556962,0.890439637
105,53053060800,390,2164,17,0.043589744,0.311235171
106,53053073119,175,1336,17,0.097142857,0.662944871
107,53053072507,197,1322,1,0.005076142,0.013258897
108,53053072409,167,1011,5,0.02994012,0.175157013
109,53053071406,791,2469,109,0.137800253,0.829030007
110,53053073126,408,1017,78,0.191176471,0.93859037
111,53053073408,335,1552,31,0.092537313,0.640614096
112,53053073406,240,1237,24,0.1,0.676901605
113,53053073121,495,1620,62,0.125252525,0.782274948
114,53053071310,691,1711,100,0.1447178,0.843684578
