"County Name","County","Cumulative Smoke Score (2016-2022)"
"n/a","State Total","2289"
"Adams","53001950100","3297.6"
"Adams","53001950200","3200.5"
"Adams","53001950300","3103.5"
"Adams","53001950400","3107.2"
"Adams","53001950500","3092.2"
"Asotin","53003960100","3900.8"
"Asotin","53003960200","4101.8"
"Asotin","53003960300","4042.4"
"Asotin","53003960400","4042.4"
"Asotin","53003960500","4042.4"
"Asotin","53003960600","4042.4"
"Benton","53005010100","2918.9"
"Benton","53005010201","2912.7"
"Benton","53005010202","2918.9"
"Benton","53005010300","2911.8"
"Benton","53005010400","2915.1"
"Benton","53005010500","2915.1"
"Benton","53005010600","2914.7"
"Benton","53005010701","2927.4"
"Benton","53005010703","2920.4"
"Benton","53005010705","2908.5"
"Benton","53005010707","2905.4"
"Benton","53005010708","2909.1"
"Benton","53005010803","2911.4"
"Benton","53005010805","2921.3"
"Benton","53005010807","2926.6"
"Benton","53005010809","2917.4"
"Benton","53005010810","2907.5"
"Benton","53005010811","2911.4"
"Benton","53005010813","2907.5"
"Benton","53005010814","2912"
"Benton","53005010901","2910.8"
"Benton","53005010902","2900.9"
"Benton","53005011001","2910.8"
"Benton","53005011002","2900.9"
"Benton","53005011100","2898"
"Benton","53005011200","2898"
"Benton","53005011300","2898"
"Benton","53005011401","2897.7"
"Benton","53005011402","2899.2"
"Benton","53005011501","2888.1"
"Benton","53005011503","2905.8"
"Benton","53005011504","2888.1"
"Benton","53005011600","2926"
"Benton","53005011700","4907"
"Benton","53005011800","4893"
"Benton","53005011900","2962.8"
"Benton","53005012000","4942.5"
"Chelan","53007960100","4235.5"
"Chelan","53007960200","3032"
"Chelan","53007960300","5659.2"
"Chelan","53007960400","5785.2"
"Chelan","53007960500","3982.8"
"Chelan","53007960600","5357.9"
"Chelan","53007960700","5012.5"
"Chelan","53007960801","5324.4"
"Chelan","53007960802","5640.6"
"Chelan","53007961000","5495.1"
"Chelan","53007961100","5501"
"Chelan","53007961200","5427"
"Chelan","53007961301","5475.9"
"Chelan","53007961302","5299.3"
"Clallam","53009000200","1790.2"
