County Name,Census Tract,Life Expectancy,Lower CI,Upper CI
n/a,State Total,80.41,80.36,80.45
Adams,53001950100,76.02,72.9,79.14
Adams,53001950200,76.72,73.18,80.26
Adams,53001950300,77.14,75.61,78.67
Adams,53001950400,78.16,75.74,80.58
Adams,53001950500,78.76,76.62,80.91
Asotin,53003960100,83.54,81.93,85.15
Asotin,53003960200,79.92,77.72,82.12
Asotin,53003960300,76.93,74.17,79.68
Asotin,53003960400,75.72,72.54,78.9
Asotin,53003960500,78.83,76.84,80.83
Asotin,53003960600,80.27,77.76,82.79
Benton,53005010100,85.43,83.62,87.24
Benton,53005010201,79.87,77.63,82.12
Benton,53005010202,82.64,80.88,84.4
Benton,53005010300,80.42,78.53,82.3
Benton,53005010400,82.92,80.51,85.33
Benton,53005010500,74.15,71.72,76.58
Benton,53005010600,79.4,77.35,81.44
Benton,53005010701,73.96,70.91,77.01
Benton,53005010703,82.05,79.66,84.44
Benton,53005010705,80.6,79.27,81.92
Benton,53005010707,--,--,--
Benton,53005010708,82.45,80.08,84.82
Benton,53005010803,82.53,81.18,83.88
Benton,53005010805,83.36,81.88,84.84
Benton,53005010807,--,--,--
Benton,53005010809,79.84,78.39,81.29
Benton,53005010810,81.72,80.02,83.41
Benton,53005010811,81.12,78.72,83.52
Benton,53005010813,82.83,81.62,84.04
Benton,53005010814,80.69,78.78,82.6
Benton,53005010901,74.87,73.34,76.41
Benton,53005010902,77.12,75.35,78.89
Benton,53005011001,78.82,77.04,80.59
Benton,53005011002,77.87,75.79,79.95
Benton,53005011100,77.16,75.63,78.69
Benton,53005011200,76.26,74.48,78.04
Benton,53005011300,78.05,75.95,80.16
Benton,53005011401,76.96,75.1,78.82
Benton,53005011402,81.03,79.32,82.74
Benton,53005011501,77.57,76.14,79
Benton,53005011503,81.53,80.41,82.65
Benton,53005011504,80.42,78.41,82.42
Benton,53005011600,--,--,--
Benton,53005011700,79.67,78,81.34
Benton,53005011800,80.61,79.11,82.11
Benton,53005011900,79.34,77.65,81.03
Benton,53005012000,--,--,--
Chelan,53007960100,82.36,79.57,85.15
Chelan,53007960200,82.7,80.97,84.43
Chelan,53007960300,83.98,82.38,85.58
Chelan,53007960400,85.36,83.26,87.45
Chelan,53007960500,83.22,81.54,84.9
Chelan,53007960600,82.03,80.12,83.95
Chelan,53007960700,82.53,79.95,85.1
Chelan,53007960801,82.1,79.34,84.85
Chelan,53007960802,81.97,80.46,83.47
Chelan,53007961000,80.81,79.22,82.41
Chelan,53007961100,78.84,77.54,80.13
Chelan,53007961200,78.27,76.02,80.52
Chelan,53007961301,--,--,--
Chelan,53007961302,80.99,79.71,82.28
Clallam,53009000200,78.95,76.36,81.54
Clallam,53009000300,76.6,74.79,78.41
Clallam,53009000400,77.7,74.18,81.23
Clallam,53009000600,75.25,72.6,77.9
Clallam,53009000700,81.2,79.49,82.91
Clallam,53009000800,77.08,74.88,79.27
Clallam,53009000900,77.57,74.89,80.25
Clallam,53009001000,83.68,80.65,86.7
Clallam,53009001100,80.72,78.4,83.04
Clallam,53009001200,77.11,74.82,79.4
Clallam,53009001300,78.28,76.11,80.44
Clallam,53009001400,80.39,78.62,82.16
Clallam,53009001500,75.16,72.17,78.16
Clallam,53009001600,79.48,75.95,83.01
Clallam,53009001700,81.72,79.45,84
Clallam,53009001800,80.99,78.18,83.8
Clallam,53009001900,82.32,80.26,84.39
Clallam,53009002000,79.92,77.37,82.47
Clallam,53009002100,76.14,73.97,78.32
Clallam,53009002300,79.21,76.18,82.25
Clallam,53009940000,74.47,70.8,78.14
Clallam,53009990100,--,--,--
Clark,53011040101,79.41,77.81,81.01
Clark,53011040102,84.14,82.13,86.15
Clark,53011040201,80.58,78.5,82.66
Clark,53011040202,81.24,79.04,83.44
Clark,53011040203,81.38,79.49,83.27
Clark,53011040301,--,--,--
Clark,53011040302,89.27,87.57,90.96
Clark,53011040403,83.54,81.48,85.6
Clark,53011040407,80.42,78.72,82.13
Clark,53011040408,78.56,76.11,81
Clark,53011040409,--,--,--
Clark,53011040411,73.74,71.16,76.32
Clark,53011040412,87.4,85.65,89.16
Clark,53011040413,79.16,76.87,81.44
Clark,53011040414,78.98,77.49,80.47
Clark,53011040415,79.31,77.27,81.35
Clark,53011040416,81.24,78.83,83.65
Clark,53011040504,85.21,83.22,87.2
Clark,53011040505,79.47,77.87,81.07
Clark,53011040507,80.89,78.52,83.27
Clark,53011040508,82.53,81.1,83.95
Clark,53011040509,79.47,76.77,82.16
Clark,53011040510,81.65,80.11,83.2
Clark,53011040511,81.67,78.26,85.09
Clark,53011040603,80.31,78.21,82.41
Clark,53011040604,78.52,76.85,80.19
Clark,53011040605,82.32,80.93,83.72
Clark,53011040608,82.76,81.42,84.1
Clark,53011040609,81.3,79.2,83.39
Clark,53011040610,81.62,79.51,83.74
Clark,53011040703,78.05,76.6,79.5
Clark,53011040706,78.76,76.62,80.9
